縣市,自行車道路名稱,簡介,挑戰指數,總計長度,路面狀況,重點提醒
新竹縣,新豐紅樹林自行車道,新豐紅毛港海岸邊，就是新豐紅樹林自行車道的入口，遊客穿梭在木麻黃林間，聽著海潮聲輕鬆行，自行車道還可與紅毛港海堤連接，形成環狀路線。新豐鄉紅毛港是北台灣唯一紅樹林水筆仔與海茄苳混生的紅樹林溼地，是個兼具健身及生態教育的好地點。,1級。適合親子共遊。,5公里。,柏油路面，無人車分道，防風林路段平整筆直。,該車道行經防風林，林蔭繁茂景色純樸，可盡享沿線漁家風情，可惜商家略少，需自備飲水。沿線雖無明顯路標，不過新竹縣政府計畫於96年起整合桃園新屋到新竹新豐紅樹林的車道系統，想必日後會更臻完善。
苗栗縣,竹南海濱森林公園,位在竹南鎮西濱的竹南海濱森林公園，沿著海岸線的原始木麻黃、棕櫚樹林，規劃了一處適合全家共遊的自行車道，沿途分成假日之森、親子之森、長青之森三個主題，從龍鳳漁港一直騎至濱海森林遊憩區，映入眼前的是一片潔白無瑕的沙灘，您大可停好自行車、捲起褲管，讓沁涼的浪花拍打略帶疲憊的雙腳喔。,1級。適合親子共遊,6.82公里。全程有三個休憩點，都備有小型車停車場。,水泥路面，沿途不乏綠蔭遮陽，但要小心防蚊。,附近幾無租車店家，最好自行攜帶自行車。龍鳳漁港及竹南濱海森林遊憩區假日時會有小販，但平日就得自行準備飲水及乾糧。 . 親子之森附有淋浴設備可沖洗。
苗栗縣,貓貍山自行車道,貓貍山公園設施完善，風景宜人，已然成為苗栗市民休閒抒壓的好場所，其中規劃出三條著名的自行車專用道，依所需體力區分為休閒路線、運動路線及挑戰路線，喜愛自行車的民眾可以痛快暢遊。苗栗市公所還提供了自行車出租，貼心的為市民提供自行車租借服務。此路段沿途包含林相多樣、鳥種豐富，既能賞景又能健身。,自行車道依其山路的崎嶇程度，分為休閒路線、運動路線及挑戰路線三種。,全長12公里。,皆為柏油路，路況平順，但上坡路段很多，需有足夠的體力。,貓貍山公園旁的服務中心為三條路線的匯集點之一，是一條長約200公尺的上坡，要小心騎乘。. 服務中心無童用自行車，兒童騎乘必須自備交通工具。且自行車道並非專用，必須小心車輛。. 離開服務中心後，其他路程並無商店，要自備補給。
台中市,台中潭雅神綠園道,由軍事鐵道改建而成的潭雅神綠園道全長14公里，從潭子鄉的中山路起，行經大雅鄉、神岡鄉，經清泉崗機場的忠義村，延伸至中部科學園區，屬於都會型休憩的路線。騎乘在潭雅神綠園道上，園道兩旁種有不同樹種的植物，讓人不論是騎自行車或是漫步其中，都可以享受林蔭小徑綠意。,2級。路況適合親子共遊，但距離較長。,潭子加工區至大雅忠義村為11.8公里，目前延長至中部科學園區，全長為14公里。,沿路皆為汽車禁止進入的自行車專用道，安全好騎。,崇德路上有1.8公里長的自行車專用天橋，上坡平緩，不過仍須一點體力耐力才行，如有兒童同行可能需要成人輔助。潭雅神綠園道之自行車出租店大多集中在崇德路自行車天橋下，遊客可選擇在此租車。
台中市,東豐自行車綠廊及后豐鐵馬道,東豐自行車綠廊原是舊山線東勢支線，鐵道沿大甲溪河岸而行，曾被稱為全台最美麗的鐵路支線。而后豐鐵馬道以后里馬場為起點，貫穿原舊山線九號隧道，再經花樑鋼橋，最後與東豐自行車綠廊相接，形成總長 17公里、具獨特懷舊魅力的自行車專用道，沿途景點眾多，遊人如織，附近商家林立，旅人騎乘起來格外舒適，可以盡情的享受單騎樂趣。,2級。親子共遊路線，但距離較長。,東豐自行車綠廊12公里。后豐鐵馬道4.5公里，兩車道全長17公里。旅人可選擇由東豐或后豐為起點。,柏油路面寬敞好走，東豐自行車綠廊較多綠蔭遮陽，而后豐鐵馬道需注意防曬了。,東豐綠廊上橫跨大甲溪的東豐鐵橋，日前因豪雨導致溪水暴漲沖斷了，目前無法通行。預計97年4月中旬完工。. 東豐自行車綠廊有不少陡坡及下坡，多留意安全。. 后豐全線平坦，唯花樑鋼橋上鋪設鐵板需留意。
台中市,環市自行車道大學、密林之旅,除了汽車、機車、公車，以及規劃中的捷運外，有沒有試過用另一種方式逛台中市區？台中市區規劃了數條優遊於城市叢林的自行車道，考量了安全與便捷，讓騎自行車成為一種高尚的休閒運動，由於路線皆在市中心，市民也可利用為通勤路線，做個環保尖兵喔！,0級。幼兒也能暢遊。,2.8公里。,大學之旅是從中興大學正門，延伸到大智公園；密林之旅則沿著東光園道漫遊至旱溪老街。路面平整，安全好騎，最適合兒童。,位於中興大學門口的頂橋仔新公地天橋雖設有斜坡，但因安全考量，目前不開放民眾在橋上騎車，僅可以牽行。
台中市,環市自行車道鐵道、怡情之旅,這條延續大學、密林之旅的鐵道、怡情自行車道，展現另一種風情，利用鐵路意象，配合鋪面材料及街道家具，及植栽、花草強化本段的鐵道特色，塑造具有休閒、娛樂等功能的自行車道景觀風貌。旅人如果有體力，從興大校門一直騎至太原車站，也是個不錯的選擇。,1級。適合親子共遊。,由大智路至太原車站，全長5.1公里。,沿途道路平整，地圖明確，周邊商家林立，不必擔心補給問題。,太原車站有一租借點，若以大智路為起點則無租車店家。騎經路口時請注意交通號誌，並照顧隨行的孩童。
彰化縣,八卦山脈自行車道,這條從八卦山大佛一直延伸到銀行山的自行車道，風情萬千。從充滿宗教禪意的八卦山大佛為起點，經自然生態園區、再到帶點懷舊古意的抗日紀念公園，與路邊的除役戰機拍拍照，再跨上自行車，到山頂平台賞鷹，接著是下坡路段，暫時從山林回到平地，經過中彰快速道路的大馬路口，再緩緩上坡，到達瀰漫著悠閒氣息的銀行山牧場，讓騎乘的旅人感到心曠神怡。,3級。適合已有長程騎乘經驗者。,13.1公里。,山路蜿蜒，車道與自行車道比鄰，不過有自行車專屬空間，路面標示明確，方便旅人依循，不致迷路。,上下坡頻繁，需要有基本體力及耐力才能騎完全程。八卦山並無租車服務，需自行攜帶單車。
彰化縣,長青自行車道,鼓山寺是長青自行車道的起點，沿途經過兩個登山步道及清水岩，最後到達護天宮。規劃完善的長青自行車道，在彰化地區十分有名，沿途風景優美，綠蔭蔽天，騎在小徑中格外涼爽。如果8.45公里的路程無法過癮，有經驗的遊客還可以試試從清水岩到橫山，總長約10公里的挑戰級路段，體驗一下玩家級車道。,2級。適合一般大眾的普通路線。,8.45公里，有部分路段有緩坡，但整體路況平順。,全程鋪設水泥及柏油路面，並設有多個涼亭及停車區，有些水泥路面有青苔，要小心路滑。,遊客從田中森林公園旁指標進入小徑，約500公尺就可到長青自行車道的景觀標示牌，但設有路障車輛無法進入，建議自行開車者可將車輛停至田中森林公園或鼓山寺停車場。長青自行車道並無單車租借站，必須自備單車。
南投縣,集集自行車道環線系統,集集自行車道環線系統是南投縣第三條觀光自行車道，全長20.8公里，路線共分成三條，即集集攔河堰堤岸景觀線、集集綠色隧道景觀線，以及集集環鎮景觀線等，恰好能將集集鎮上重要觀光景點如綠色隧道、集集車站、明新書院等串連起來，全線設施完善，假日遊人如織，能與這麼多單車同好共騎，真是一大樂事。,0～2級。路線較長，但有三種路線可視體能狀況來選擇。,20.8公里。,20.8公里。,皆為柏油路面，唯無自行車專用道，假日人車多須留意安全。
南投縣,雙冬平林自行車道,雙冬自行車專用道的路線呈環狀，由戰車廣場開始，騎經全台最長的雙十吊橋到盛產荔枝的平林里，再騎經平林景觀大橋，而後由舊中潭公路經隧道、墓碑山、一線天，返回戰車廣場，全程約6公里，依正常車速，行程約需一個小時。沿線美景處處，有優美的雙冬農村聚落、社區公園、堤防風車，還可觀賞觀光荔枝、葡萄園區及壯麗的烏溪景致。,2級。有中程騎乘經驗者較為適合。,6公里。,舊中潭公路都是柏油路，平坦好走。,目前烏溪沿岸整治中，雙十吊橋周邊都是工地，從平林里騎不過去。建議行程為戰車廣場→沿舊中潭公路騎→越過平林橋→走平林里欣賞果園→回戰車廣場。欲往吊橋者可從戰車廣場地下道過去拍照留影。
雲林縣,口湖濱海自行車道,這條由金湖延伸至台子的自行車道，是沿海規劃的幽靜車道，出海口生態非常豐富，遊客可欣賞海蚵農膠筏的出海景致，也可感受由廣闊漁塭吹拂而來的清風，有別於其他城市中的自行車道，口湖鄉的鄉村景致在純樸中充滿人情味，辛勤的蚵農、漁民見到遊客的身影，都會給你一個熱情的笑容喔。,1級。適合親子共遊。,金湖段4公里，台子段3.31公里，全長7.31公里。,全線沿著漁塭規劃，皆為柏油路。,漁塭區的小路多，不過自行車道路面都有標示，沿著騎就不會錯。路面很寬敞且有護欄，但有幼兒同行仍需注意安全。
雲林縣,水林塭底溼地,水林鄉的自行車道，完整保留了鄉村原始的氛圍，路線經過塭底溼地，還可觀察野鳥生態。車道是利用防汛道路規劃而成，筆直而平順。水林鄉公所目前先在自行車道的起點築起了一條木棧道，還有一個象徵起點的大鐘樓，未來，車道會作更妥善的規劃，像是增加自行車道路標示、建造涼亭等，讓遊客騎得更順心。,3級。適合有長程騎乘經驗的旅人。,14公里。,和安國小前1公里的道路有完整的標示，之後就共用防汛道路，路雖小但平坦無坡。,全線沿著堤岸走，一側則是漁塭，人煙罕至，更無商店可補給，要自備自行車及充足飲水及乾糧。 無自行車租借服務，需自備自行車。 . 有時需與農用車會車，要注意安全。 . 無地圖路標及路面標示，不過全程無叉路，沿著堤防走就不會迷路。
嘉義縣,大林自行車道,騎乘在大林自行車道上，除了可到大林糖廠參觀除役的老蒸汽火車頭，以及台糖「平客6203」車廂，還可以到歷史悠久的台糖員工宿舍走走逛逛。此外，景點沿途可欣賞大林親水公園、大林糖廠的優美風景及日式建築，更可品嚐遠近馳名的台糖冰品。穿越茂密竹林映入眼簾的是一片優美的田園景色，遊客可以優閒的步調，來一段充滿活力的感性旅程。,1級。適合親子同遊。,大林糖廠為起點，經大糖里、湖北里、穿越台1線省道（走涵洞），經三村里、溝背里、三角里，全長8公里。,由廢棄鐵道改建，平坦好騎，沿途不乏涼亭等休憩點，適合全家大小同遊。,當地無自行車租借，需自備自行車。
嘉義縣,南故宮田園鐵馬之旅,這條配合故宮南院所開闢的南故宮田園自行車專用道，以蒜頭糖廠文化園區生態公園為起點，融入了六腳田園旅遊景觀與朴子溪水岸風情，自行車道動線還延伸至東石漁人碼頭；以豐富西濱地區觀光遊憩資源，前來騎車的遊客可以感受到田園聚落、水岸河川等美景，甚至搭乘船筏體驗朴子溪的河岸生態之旅，不但能增加故宮南院的觀光效益，更能帶動濱海地區的發展與繁榮。,3級。須有長途經驗者較佳。兒童可選擇較短路段騎乘。,六腳田園自行車道約6.3公里、朴子溪河岸堤頂自行車道段12.8公里，東石漁人碼頭自行車道段約3.9公里，共計23公里。,全程皆為柏油路面，平穩路況佳。,路程較長，且朴子溪段較無樹蔭，需注意防曬。. 目前當地無租車服務，遊客須自備。不過有些民宿有免費提供自行車，遊客不妨先行詢問。
嘉義市,中油舊鐵道休閒自行車道,這條中油舊鐵道改建而成的自行車路線，是嘉義市第一條自行車專用道，車道全長3.5公里，從中油舊鐵道與道將圳交會處開始，以一個倒M字型繞經嘉義市美源里、光路里、湖內里等三個社區，並穿過嘉義縣市交界到嘉義縣水上鄉三合村，最後一直延伸至北回歸線。車道穿越了嘉義市南端的幾個新社區、老聚落，且部分自行車道可串連八掌溪與蘭潭鹿寮自行車道，周邊環境資源豐富。,0級。幼兒也可騎乘。,由世賢路4段至北回歸線，全長3.5公里。,車道保留舊鐵道枕木、鐵軌與碎石，於兩側設自行車道、綠化植栽、景觀涼亭與平台、照明等遊憩設施，十分適合大小朋友一同騎乘。,當地無自行車租借服務，需自備自行車。
嘉義市,蘭潭風景區環潭公路自行車網,近年來，嘉義市在市區規劃出各具特色的自行車路線，有的是挑戰腳力的高手級路段，像是鹿寮段，也有漫遊風景區的輕鬆行程，像是環繞蘭潭的環潭公路自行車道路線，就是很適合全家同遊的親子路線，悠閒騎乘之際，還可順遊嘉義市著名景點，用最深入當地的方式玩嘉義，十分值得推廣。,1級，適合親子同遊。,崇仁護校至蘭潭水庫三信亭，共計4.2公里,環潭公路平坦好騎，沿途林蔭密佈，風光明媚。,自行車道附近有一座高爾夫球場有提供租借服務，遊客可詢問。
台南市,草山月世界自行車道,台南縣左鎮鄉的草山月世界，是由砂岩與頁岩所構成的青灰岩地形，與高雄縣內門、田寮、燕巢鄉的泥岩惡地連成一片，稱為白堊土地形，地質鬆軟加上草山溪、岡林溪等河流切割地表，造成山岩嶙峋綿延，處處可見懸崖峭壁，就像月球表面般。白堊土含高鹼性，使得草木難生，荒地中只有耐旱的刺竹生長，景觀十分特殊。,0-3級。視路線長度有不同變化。,左鎮草山月世界飛燕關.小玉山.再繞回飛燕關，總長度4公里。,水泥路面與柏油路面，有時為石子路面，騎起來頗有登山拉力賽的感覺。,此地較為偏僻且路勢蜿蜒，陰雨天最好不要前往。 草山月世界全區皆可騎車，是許多愛好自行車好手的挑戰聖地。可視個人體能做路徑調整。
台南市,新化鎮自行車道,新化鎮是個自行車風氣盛行的鄉鎮，共有5條自行車道。其中黃、紅、藍三線都以虎頭埤正門為起點，黃線長9.2公里，有新化老街等著名景點；藍線長4公里，主要是虎頭埤環湖路線；紅線長8公里，有中興林場、橄欖山羊蹄甲林道、極限運動場等景點。風景各異，但都值得一遊。之後延伸的紫線長9.2公里，環繞台168線並延伸至山腳桉樹林，綠線則有林家園藝、新化苗圃等景點，全長7.8公里，是個集休閒、人文、自然生態及運動為一體的有趣行程。,0～3級。視路線長度有不同變化。,（紅線）虎頭埤至口碑國小長約8公里。新化老街自行車道則為4公里長，總長度為12公里。,水泥路面與柏油路面，不過非自行車專用道，要注意其他車輛。,新化鎮有多條自行車道，遊客可視遊程自行規劃，鎮公所網站上有五條路線的詳盡地圖，遊客出發前可先做一下功課。
台南市,府城市區自行車道,在台南，自行車道有個美麗的名字：翡翠項鍊公園道，公園被稱為「翡翠」，自行車道就有如項鍊般，將美麗的翡翠串聯起來。目前，台南市共有5條自行車道在規劃中，在都發局的計畫下，希望能利用環保無污染的自行車，將台南市著名的景點、古蹟、廟宇及公園連起來，以後遊客遊台南，只要騎著鐵馬就可以玩透透了。,1級。適合親子同遊。,東豐路自行車道1.5公里、林森路一段至三段自行車2.9公里、永華路自行車道3公里。共計7.4公里。,柏油路面，平整順暢。沿途有相關標誌。,路程雖短，但因未有自行車專用道，與其他車輛共用，須注意安全。
台南市,運河北岸自行車道,台南運河宛如台南市的動脈，以往肩負著貨運交通的重要任務，如今功成身退，運河成為台南市民的親水河岸。你可以跨上自行車，隨性利用7條照明獨特的「光橋」跨越運河，來到運河北岸，遊一趟著名的安平古堡、博物館、洋行等古蹟，再上行至四草野生動物保護區，幸運的話，說不定能親眼目睹國慶鳥 ──黑面琵鷺的優雅姿態。,1級。適合親子共遊。,安億橋至臨安橋的運河北岸之安平路段，共計2.54公里。,沿運河而建的自行車道，皆為柏油路面，夜間有照明，騎乘起來極為舒適。,本段路程短，騎不過癮的旅客可以續行至四草。四草自行車道系統全長共計12公里，讓遊客更能體驗騎鐵馬遊南市的樂趣。遊客可自備自行車，或至安平遊客服務中心、安平運河博物館租借。
台南市,運河南岸自行車道,安平港是許多台南人的不可遺漏的重要景點，有300多年歷史的安平港，伴隨著許多台南人成長，已成為記憶一部份。雖然安平港早已失去原有的商港重要吞吐價值，但如今的安平港依然韻味十足，轉型成觀光港口，也連帶的使台南成為親水都市。也許許多遊客曾到過台北淡水的漁人碼頭，有機會不妨南下，騎著自行車，感受一下安平夕照的溫柔與詩意。,0級。幼兒亦可騎乘。,安億橋至望月橋之慶平路段自行車道，長為1.3公里。,連鎖磚路面平整良好，夜間亦有照明。,本路段無自行車租借服務，需自備自行車。
高雄市,愛河蓮池潭自行車道,高雄市所規劃的「愛河連接蓮池潭自行車道系統」，結合愛河沿岸景觀與都市綠廊串聯，民眾可從愛河沿著自行車道，直達蓮池潭。旅人可以騎在木棧橋上，橫跨菱角田，悠閒地踩著車輪，欣賞沿途豐富生態與觀光景點，加上有自行車專用道，不必與汽機車爭道，兼顧了騎乘安全與美麗風情，十分適合全家一起出遊。,2級。距離遠，適合有長程騎乘經驗者。,24.5公里。,為自行車專用道，路況佳，多為柏油路，部分為木棧道路面。,愛河沿岸並無設置租借點，不過遠到而來的旅人可以詢問下榻的飯店，多半都有提供自行車租借的服務。
高雄市,旗津環島自行車道,旗津特殊的海港風情，經常出現在廣告片中，旅人可以牽著自行車，搭著渡輪假裝自己起程遠行，其實，目的地就在不遠處。下了船，換上輕便的交通工具── 自行車，又可以銜接另一段旅程。而且，現在的旗津蛻變成創意獨具的人文藝術景點，以宏觀的國際設計理念，讓旗津展現更有深度的風貌。,2級。距離較遠，有長程騎乘經驗者佳。,由高字塔至旗後燈塔，總長約15.5公里。,公共設施眾多，指標明確，是條優質的自行車道。,樹蔭少，需注意防曬。
高雄市,美濃自行車道紅、橘、黃、靛,美濃的7條自行車道，可是赫赫有名！許多探訪美濃之美的遊客，一定會租上一輛自行車，悠閒的漫遊、細細品味古鎮美景。7條的自行車道是依照彩虹的七色作為分辨，不過一口氣要騎完7條，可是需要很多體力與時間的，建議遊客不要貪心，依自己的體力來決定騎乘路線，才可以玩的舒適又盡興。,3級。請視自身體能狀況決定騎乘距離。,黃線5.4公里、紅線4.7公里、橘線5.4公里、靛線6.4公里，共計21.9公里。,美濃自行車道都會依照其顏色分類，而讓路旁標線也漆上同樣顏色，所以不致於迷失方向。,非獨立自行車道，要小心過往車輛。自行車遊憩景點導覽
高雄市,美濃自行車道藍、綠、紫,美濃自行車道的藍線、綠線、紫線，路徑逐漸遠離了熱鬧的鎮中心，沿途風景從懷舊復古，轉為人文、生態。像是鍾理和文學館、勾起文人潮騷的文學步道，還有黃蝶的重要棲息地 —— 黃蝶翠谷，以及為美濃的水源鎮守了百年的老電廠 —— 竹子門發電廠。行走在這三條自行車道，遊客將會認識另一個嫻靜、優雅的美濃。,0～3級。請視自身體能狀況決定騎乘距離。,藍線9.0公里、綠線4.1公里、紫線5.1公里，共計18.2公里。,美濃自行車道都會依照其顏色分類，而讓路旁標線也漆上同樣顏色，所以不致於迷失方向。,藍線與紅線距離較長，路面較有坡度，有中程騎乘經驗者較適合。
高雄市,高屏溪自然生態園區沿岸自行車道,這條自行車道堪稱是全國最長河畔自行車道，由「林園鄉出海口紅樹林生態教育區」為起點，溯溪而上貫通至「大樹鄉斜張橋下親水公園」，綿延約40公里的低水護岸，適合騎自行車、散步，民眾還可順訪附近的名勝古蹟，像是國定古蹟舊鐵橋、縣定古蹟竹寮抽水站、三和磚窯廠、高屏溪攔河堰、佛教聖地佛光山與佛陀紀念館、南二高斜張橋、濕地公園等，深入了解當地風土民情，體驗高屏溪生態。,2級。全程騎完需有中長程騎乘經驗較佳。,「林園鄉出海口紅樹林生態教育區」至「大樹鄉斜張橋下親水公園」，共計40公里。,柏油路面，平坦好騎。,遠道而來的旅人可以先至姑山倉庫租車，再展開遊程。
屏東縣,高屏溪自行車道,高屏溪自行車道是指從佛光山附近的高屏溪開始，一直延伸到高屏溪下游的雙園大橋、林園紅樹林的自行車道網路，全長40公里，算是健腳級的成長路線。這條沿著高屏溪發展的自行車道，幾年前還是垃圾充斥、雜草叢生，但經過整治後，目前已成為綠意盎然的休閒公園。每天下午，散步人潮湧現，假日更是車水馬龍，放風箏、賽車、打球、觀落日者流連嬉戲其間，熱鬧無比。,3級。欲全程騎完者需有長程騎乘經驗。,40公里。,路寬筆直，多為柏油路面，但路標略有不足，需準備地圖。,路程中商家較少，需準備充足飲水及乾糧，並注意防曬。且當地無租借自行車，需自行攜帶。
屏東縣,蘭花蕨大道自行車道,從南二高九如交流道一直延伸至麟洛，共9.3公里的高架橋下，在政府巧妙的規劃下，硬梆梆的水泥橋墩，也散發出藝術氣息。這條號稱「全國第一條國道級享受」的自行車道 ── 蘭花蕨大道，已成為當地民眾休閒運動的後花園，也有許多外來客慕名而來。沿途可欣賞各種熱帶樹種、著名的蝴蝶蘭，亦能順遊台灣檸檬文化會館，騎車之餘，還可了解當地農產，真是一舉數得。,1級。適合親子同遊。,南二高九如交流道至長治交流道的高架橋下空間，自行規劃設置的「蘭花蕨」自行車道，全長7.4公里，再延伸至麟洛段1.9公里，共計9.3公里。,皆為水泥或柏油路面，有橋面遮蔭。,沿線無自行車租借服務，需自行準備。
宜蘭縣,宜蘭冬山河自行車道,冬山河親水公園的盛名可說是家喻戶曉，不過沿著冬山河畔騎自行車，可不比到親水公園裡嬉戲來的遜色。這條沿著冬山河規劃的車道，不僅享有遠離塵囂的寧靜，也有身處都市的便利，沿途景觀變化豐富，出海口的遼闊、親水公園的繽紛、老車站的古意，皆能一次擁有。,2級。適合有中程騎乘經驗者。,12.9公里 。,優質，皆為柏油路面，珍珠社區路段有樹蔭，騎乘起來更愜意。,冬山車站旁正在進行鐵路加高改建工程，往前騎約莫1公里就無法再前行。建議從珍珠社區為起點，往冬山河親水公園方向騎，珍珠社區內假日時有自行車租借服務，遊客可多加利用。
